,id,ret
0,FAF1B9F5-4288-48B6-9C33-C7E1F289AB63,1
1,89E5D295-BA36-4258-AFA8-0166EF611E65,0
2,02459974-2670-4928-9FBD-99C658E85F19,0
4,124463DE-7413-4730-8BD5-3F4A28837356,0
5,91880266-9BD2-4128-AE5B-86619F5AE982,0
6,4F98C4B8-77C8-47C1-A218-8A6DEE0F57FB,0
8,62C58F5F-5FA1-422E-AB92-AC22E9E665D2,0
9,5ADF2095-2D0B-4112-A763-C282A1B9A5E3,0
10,BC5E196D-9B0C-4CCB-A3B6-FDA2531BC6AA,0
12,47A717B4-A3C2-40DD-B5DB-1029845B3CA9,1
13,30F62291-B70F-47FE-845E-E7163D01B15B,0
14,51803D31-D58D-4ACF-8509-AEBB7FFAE4B9,1
17,BC1002DB-8438-4807-8A4B-B4A9B8B00FCD,0
18,52828C26-0B8B-4371-9ACD-F828E71FEAFF,1
19,0FB4D294-F4B5-4A44-AA03-7AD25E46A8D7,0
21,1DAFA36D-B306-473A-B459-010694113299,0
22,224EC05A-60D5-451F-B9AC-8494133DF3CC,0
23,E2AE4677-AC0E-472A-A0F6-368E9616DA70,1
25,BA868A37-37DC-4826-82EE-974853B61DE2,1
27,59647283-B38E-41BB-831F-057286DCD1C4,0
28,F6A328BA-CF19-4C73-A7B4-03E242C76324,0
29,19111CB3-2E7B-4EE2-82AE-88F428D88D11,1
30,DB625D04-7C1D-466B-9060-2BA0A260AE02,0
31,22157560-D38D-405B-8B62-1D8E39860379,0
32,42E1E1C2-FB69-4D69-95DB-C5B84B567437,0
33,0A1525D9-78B4-41E7-901C-878DB83507E7,1
34,53B72F2F-33EB-43E9-B1D7-D29687479194,0
39,E05D1CD5-0278-458F-A3C3-8C7B18920FB6,1
40,B8F08F58-EBA7-4CF1-A410-8360C7AE0716,0
41,E180E411-F7F1-4E3F-9F94-8E867052874F,1
44,7E8641A5-9661-4F80-AD58-408C60996AAB,0
45,FF0E6677-355E-45B4-8362-687141FE1D7E,1
47,A577B7D1-76BF-447C-AE61-E8C1392BF0FE,1
50,9E5BAAE4-C4E5-43D5-9D90-60A82C845634,0
52,9A55314A-DFA6-4550-ADB7-9698FF54646E,1
53,E4D83D29-DD83-430B-9B14-DA4513855312,1
54,C215B41C-5BC8-4069-82A1-405298A55EB0,0
55,0EDC781A-1A7F-4A5C-95A5-1EA645A778BE,0
56,9014924F-6CA9-4859-B8DD-ADD67B6D2DD7,1
57,C58083FB-6763-4069-99CF-17BB06C0E473,0
