,w,h,area,ratio
0,501.0,362.0,181362.0,1.3839779005524862
1,508.0,390.0,198120.0,1.3025641025641026
2,505.0,366.0,184830.0,1.3797814207650274
3,512.0,404.0,206848.0,1.2673267326732673
4,508.0,390.0,198120.0,1.3025641025641026
5,499.0,363.0,181137.0,1.3746556473829201
6,507.0,409.0,207363.0,1.2396088019559903
7,512.0,415.0,212480.0,1.2337349397590363
8,503.0,378.0,190134.0,1.3306878306878307
9,512.0,394.0,201728.0,1.299492385786802
10,491.0,405.0,198855.0,1.2123456790123457
11,486.0,351.0,170586.0,1.3846153846153846
12,512.0,382.0,195584.0,1.3403141361256545
13,458.0,315.0,144270.0,1.453968253968254
14,512.0,489.0,250368.0,1.047034764826176
15,476.0,386.0,183736.0,1.233160621761658
16,509.0,386.0,196474.0,1.3186528497409327
17,512.0,438.0,224256.0,1.1689497716894977
18,512.0,402.0,205824.0,1.2736318407960199
19,489.0,394.0,192666.0,1.2411167512690355
20,505.0,369.0,186345.0,1.3685636856368564
21,512.0,405.0,207360.0,1.2641975308641975
22,512.0,392.0,200704.0,1.3061224489795917
23,512.0,444.0,227328.0,1.1531531531531531
24,483.0,362.0,174846.0,1.3342541436464088
25,504.0,385.0,194040.0,1.309090909090909
26,512.0,397.0,203264.0,1.2896725440806045
27,505.0,381.0,192405.0,1.3254593175853018
28,512.0,364.0,186368.0,1.4065934065934067
29,511.0,364.0,186004.0,1.4038461538461537
30,470.0,342.0,160740.0,1.3742690058479532
31,494.0,401.0,198094.0,1.231920199501247
32,512.0,349.0,178688.0,1.4670487106017192
33,512.0,398.0,203776.0,1.2864321608040201
34,510.0,374.0,190740.0,1.3636363636363635
35,451.0,356.0,160556.0,1.2668539325842696
36,470.0,365.0,171550.0,1.2876712328767124
37,496.0,395.0,195920.0,1.2556962025316456
38,512.0,437.0,223744.0,1.17162471395881
39,481.0,346.0,166426.0,1.3901734104046244
40,494.0,335.0,165490.0,1.4746268656716417
41,499.0,345.0,172155.0,1.4463768115942028
42,504.0,338.0,170352.0,1.4911242603550297
43,512.0,373.0,190976.0,1.3726541554959786
44,509.0,392.0,199528.0,1.2984693877551021
45,467.0,374.0,174658.0,1.2486631016042782
46,497.0,369.0,183393.0,1.3468834688346885
47,454.0,370.0,167980.0,1.227027027027027
48,509.0,358.0,182222.0,1.4217877094972067
49,490.0,341.0,167090.0,1.436950146627566
50,511.0,386.0,197246.0,1.3238341968911918
51,506.0,416.0,210496.0,1.2163461538461537
52,512.0,419.0,214528.0,1.2219570405727924
53,469.0,318.0,149142.0,1.4748427672955975
54,509.0,407.0,207163.0,1.2506142506142506
55,512.0,374.0,191488.0,1.3689839572192513
56,491.0,378.0,185598.0,1.2989417989417988
57,491.0,371.0,182161.0,1.3234501347708896
58,508.0,360.0,182880.0,1.4111111111111112
59,473.0,341.0,161293.0,1.3870967741935485
60,512.0,461.0,236032.0,1.1106290672451193
61,512.0,434.0,222208.0,1.1797235023041475
62,512.0,360.0,184320.0,1.4222222222222223
63,507.0,357.0,180999.0,1.4201680672268908
64,512.0,403.0,206336.0,1.2704714640198511
65,486.0,368.0,178848.0,1.3206521739130435
66,512.0,440.0,225280.0,1.1636363636363636
67,512.0,437.0,223744.0,1.17162471395881
68,512.0,426.0,218112.0,1.2018779342723005
69,462.0,391.0,180642.0,1.1815856777493605
70,478.0,318.0,152004.0,1.5031446540880504
71,450.0,330.0,148500.0,1.3636363636363635
72,512.0,442.0,226304.0,1.158371040723982
73,512.0,392.0,200704.0,1.3061224489795917
74,512.0,478.0,244736.0,1.0711297071129706
75,501.0,397.0,198897.0,1.2619647355163728
76,477.0,355.0,169335.0,1.343661971830986
77,512.0,391.0,200192.0,1.3094629156010231
78,506.0,362.0,183172.0,1.3977900552486189
79,427.0,341.0,145607.0,1.252199413489736
80,511.0,388.0,198268.0,1.3170103092783505
81,505.0,396.0,199980.0,1.2752525252525253
82,496.0,406.0,201376.0,1.2216748768472907
83,512.0,417.0,213504.0,1.2278177458033572
84,483.0,428.0,206724.0,1.1285046728971964
85,490.0,379.0,185710.0,1.2928759894459103
86,492.0,376.0,184992.0,1.3085106382978724
87,498.0,400.0,199200.0,1.245
88,476.0,367.0,174692.0,1.2970027247956404
89,494.0,357.0,176358.0,1.3837535014005602
90,512.0,363.0,185856.0,1.4104683195592287
91,505.0,369.0,186345.0,1.3685636856368564
92,405.0,296.0,119880.0,1.3682432432432432
93,504.0,382.0,192528.0,1.3193717277486912
94,503.0,456.0,229368.0,1.1030701754385965
95,484.0,344.0,166496.0,1.4069767441860466
96,489.0,365.0,178485.0,1.3397260273972602
97,509.0,381.0,193929.0,1.3359580052493438
98,502.0,387.0,194274.0,1.297157622739018
99,508.0,397.0,201676.0,1.279596977329975
100,508.0,387.0,196596.0,1.3126614987080103
101,512.0,422.0,216064.0,1.2132701421800949
102,512.0,430.0,220160.0,1.1906976744186046
103,375.0,282.0,105750.0,1.3297872340425532
104,496.0,342.0,169632.0,1.4502923976608186
105,502.0,432.0,216864.0,1.162037037037037
106,512.0,355.0,181760.0,1.4422535211267606
107,452.0,345.0,155940.0,1.3101449275362318
108,512.0,432.0,221184.0,1.1851851851851851
109,496.0,393.0,194928.0,1.262086513994911
110,431.0,317.0,136627.0,1.359621451104101
111,507.0,358.0,181506.0,1.4162011173184357
112,512.0,404.0,206848.0,1.2673267326732673
113,512.0,418.0,214016.0,1.2248803827751196
114,481.0,388.0,186628.0,1.2396907216494846
115,495.0,378.0,187110.0,1.3095238095238095
116,468.0,350.0,163800.0,1.3371428571428572
117,483.0,427.0,206241.0,1.1311475409836065
118,512.0,377.0,193024.0,1.3580901856763925
119,512.0,392.0,200704.0,1.3061224489795917
120,512.0,405.0,207360.0,1.2641975308641975
121,512.0,400.0,204800.0,1.28
122,469.0,340.0,159460.0,1.3794117647058823
123,480.0,383.0,183840.0,1.2532637075718016
124,512.0,377.0,193024.0,1.3580901856763925
125,501.0,398.0,199398.0,1.2587939698492463
126,471.0,371.0,174741.0,1.2695417789757413
127,503.0,430.0,216290.0,1.169767441860465
128,484.0,351.0,169884.0,1.378917378917379
129,485.0,361.0,175085.0,1.3434903047091413
130,510.0,377.0,192270.0,1.3527851458885942
131,473.0,386.0,182578.0,1.2253886010362693
132,512.0,367.0,187904.0,1.3950953678474114
133,453.0,329.0,149037.0,1.3768996960486322
134,500.0,402.0,201000.0,1.243781094527363
135,505.0,387.0,195435.0,1.3049095607235142
136,500.0,409.0,204500.0,1.2224938875305624
137,510.0,372.0,189720.0,1.3709677419354838
138,475.0,382.0,181450.0,1.243455497382199
139,507.0,362.0,183534.0,1.4005524861878453
140,476.0,349.0,166124.0,1.3638968481375358
141,493.0,360.0,177480.0,1.3694444444444445
142,377.0,276.0,104052.0,1.3659420289855073
143,509.0,386.0,196474.0,1.3186528497409327
144,506.0,411.0,207966.0,1.2311435523114356
145,512.0,401.0,205312.0,1.2768079800498753
146,496.0,403.0,199888.0,1.2307692307692308
147,475.0,360.0,171000.0,1.3194444444444444
148,512.0,404.0,206848.0,1.2673267326732673
149,512.0,453.0,231936.0,1.130242825607064
150,512.0,386.0,197632.0,1.3264248704663213
151,512.0,418.0,214016.0,1.2248803827751196
152,495.0,393.0,194535.0,1.2595419847328244
153,498.0,354.0,176292.0,1.4067796610169492
154,446.0,315.0,140490.0,1.415873015873016
155,511.0,408.0,208488.0,1.2524509803921569
156,512.0,394.0,201728.0,1.299492385786802
157,512.0,394.0,201728.0,1.299492385786802
158,504.0,348.0,175392.0,1.4482758620689655
159,492.0,393.0,193356.0,1.251908396946565
160,512.0,413.0,211456.0,1.2397094430992737
161,512.0,411.0,210432.0,1.245742092457421
162,484.0,393.0,190212.0,1.2315521628498727
163,477.0,357.0,170289.0,1.3361344537815125
164,508.0,370.0,187960.0,1.372972972972973
165,508.0,385.0,195580.0,1.3194805194805195
166,512.0,322.0,164864.0,1.5900621118012421
167,512.0,480.0,245760.0,1.0666666666666667
168,511.0,403.0,205933.0,1.2679900744416874
169,512.0,425.0,217600.0,1.204705882352941
170,512.0,442.0,226304.0,1.158371040723982
171,508.0,340.0,172720.0,1.4941176470588236
172,505.0,372.0,187860.0,1.35752688172043
173,499.0,378.0,188622.0,1.32010582010582
174,490.0,416.0,203840.0,1.1778846153846154
175,443.0,301.0,133343.0,1.4717607973421927
176,504.0,409.0,206136.0,1.2322738386308068
177,496.0,401.0,198896.0,1.2369077306733167
178,457.0,327.0,149439.0,1.3975535168195719
179,512.0,448.0,229376.0,1.1428571428571428
180,468.0,356.0,166608.0,1.3146067415730338
181,476.0,411.0,195636.0,1.1581508515815084
182,512.0,421.0,215552.0,1.2161520190023754
183,494.0,361.0,178334.0,1.368421052631579
184,502.0,428.0,214856.0,1.1728971962616823
185,469.0,350.0,164150.0,1.34
186,512.0,433.0,221696.0,1.1824480369515011
187,493.0,363.0,178959.0,1.3581267217630855
188,475.0,407.0,193325.0,1.1670761670761671
189,501.0,354.0,177354.0,1.4152542372881356
190,502.0,380.0,190760.0,1.3210526315789475
191,510.0,400.0,204000.0,1.275
192,512.0,420.0,215040.0,1.2190476190476192
193,512.0,431.0,220672.0,1.1879350348027842
194,462.0,369.0,170478.0,1.2520325203252032
195,507.0,436.0,221052.0,1.1628440366972477
196,489.0,403.0,197067.0,1.2133995037220844
197,502.0,379.0,190258.0,1.324538258575198
198,495.0,419.0,207405.0,1.1813842482100239
199,491.0,387.0,190017.0,1.268733850129199
200,488.0,336.0,163968.0,1.4523809523809523
201,512.0,405.0,207360.0,1.2641975308641975
202,461.0,349.0,160889.0,1.320916905444126
203,512.0,412.0,210944.0,1.2427184466019416
204,502.0,380.0,190760.0,1.3210526315789475
205,505.0,367.0,185335.0,1.3760217983651226
206,500.0,357.0,178500.0,1.4005602240896358
207,474.0,314.0,148836.0,1.5095541401273886
208,501.0,393.0,196893.0,1.2748091603053435
209,457.0,354.0,161778.0,1.2909604519774012
210,512.0,375.0,192000.0,1.3653333333333333
211,462.0,339.0,156618.0,1.3628318584070795
212,503.0,412.0,207236.0,1.220873786407767
213,502.0,406.0,203812.0,1.2364532019704433
214,512.0,428.0,219136.0,1.1962616822429906
215,512.0,419.0,214528.0,1.2219570405727924
216,493.0,376.0,185368.0,1.3111702127659575
217,512.0,410.0,209920.0,1.248780487804878
218,505.0,334.0,168670.0,1.5119760479041917
219,509.0,360.0,183240.0,1.413888888888889
220,512.0,388.0,198656.0,1.3195876288659794
221,512.0,409.0,209408.0,1.2518337408312958
222,512.0,385.0,197120.0,1.3298701298701299
223,496.0,399.0,197904.0,1.2431077694235588
224,453.0,368.0,166704.0,1.2309782608695652
225,512.0,350.0,179200.0,1.4628571428571429
226,496.0,347.0,172112.0,1.4293948126801153
227,482.0,339.0,163398.0,1.4218289085545723
228,506.0,406.0,205436.0,1.2463054187192117
229,452.0,389.0,175828.0,1.1619537275064267
230,499.0,373.0,186127.0,1.3378016085790885
231,473.0,321.0,151833.0,1.4735202492211839
232,472.0,384.0,181248.0,1.2291666666666667
233,500.0,374.0,187000.0,1.3368983957219251
234,500.0,354.0,177000.0,1.4124293785310735
235,478.0,347.0,165866.0,1.377521613832853
236,471.0,404.0,190284.0,1.1658415841584158
237,491.0,342.0,167922.0,1.435672514619883
238,472.0,375.0,177000.0,1.2586666666666666
239,501.0,402.0,201402.0,1.2462686567164178
240,512.0,394.0,201728.0,1.299492385786802
241,508.0,388.0,197104.0,1.309278350515464
242,450.0,357.0,160650.0,1.2605042016806722
243,500.0,372.0,186000.0,1.3440860215053763
244,497.0,331.0,164507.0,1.501510574018127
245,512.0,401.0,205312.0,1.2768079800498753
246,499.0,377.0,188123.0,1.323607427055703
247,512.0,415.0,212480.0,1.2337349397590363
248,512.0,366.0,187392.0,1.3989071038251366
249,447.0,318.0,142146.0,1.4056603773584906
250,512.0,404.0,206848.0,1.2673267326732673
251,469.0,367.0,172123.0,1.2779291553133516
252,466.0,350.0,163100.0,1.3314285714285714
253,512.0,346.0,177152.0,1.4797687861271676
254,512.0,370.0,189440.0,1.3837837837837839
255,512.0,422.0,216064.0,1.2132701421800949
256,462.0,354.0,163548.0,1.305084745762712
257,446.0,316.0,140936.0,1.4113924050632911
258,512.0,344.0,176128.0,1.4883720930232558
259,459.0,342.0,156978.0,1.3421052631578947
260,505.0,365.0,184325.0,1.3835616438356164
261,512.0,398.0,203776.0,1.2864321608040201
262,512.0,408.0,208896.0,1.2549019607843137
263,512.0,403.0,206336.0,1.2704714640198511
264,489.0,337.0,164793.0,1.4510385756676558
265,510.0,390.0,198900.0,1.3076923076923077
266,512.0,391.0,200192.0,1.3094629156010231
267,512.0,406.0,207872.0,1.2610837438423645
268,485.0,359.0,174115.0,1.350974930362117
269,510.0,410.0,209100.0,1.2439024390243902
270,512.0,406.0,207872.0,1.2610837438423645
271,493.0,411.0,202623.0,1.1995133819951338
272,498.0,389.0,193722.0,1.2802056555269923
273,476.0,375.0,178500.0,1.2693333333333334
274,481.0,370.0,177970.0,1.3
275,506.0,391.0,197846.0,1.2941176470588236
276,450.0,321.0,144450.0,1.4018691588785046
277,512.0,428.0,219136.0,1.1962616822429906
278,479.0,388.0,185852.0,1.2345360824742269
279,505.0,370.0,186850.0,1.364864864864865
280,496.0,419.0,207824.0,1.1837708830548925
281,512.0,478.0,244736.0,1.0711297071129706
282,488.0,342.0,166896.0,1.4269005847953216
283,506.0,374.0,189244.0,1.3529411764705883
284,508.0,328.0,166624.0,1.548780487804878
285,512.0,410.0,209920.0,1.248780487804878
286,507.0,417.0,211419.0,1.2158273381294964
287,466.0,384.0,178944.0,1.2135416666666667
288,502.0,365.0,183230.0,1.3753424657534246
289,512.0,356.0,182272.0,1.4382022471910112
290,512.0,414.0,211968.0,1.2367149758454106
291,482.0,380.0,183160.0,1.268421052631579
292,480.0,342.0,164160.0,1.4035087719298245
293,512.0,411.0,210432.0,1.245742092457421
294,459.0,316.0,145044.0,1.4525316455696202
295,473.0,346.0,163658.0,1.3670520231213872
296,512.0,413.0,211456.0,1.2397094430992737
297,454.0,346.0,157084.0,1.3121387283236994
298,509.0,397.0,202073.0,1.2821158690176322
299,506.0,424.0,214544.0,1.1933962264150944
300,498.0,374.0,186252.0,1.3315508021390374
301,473.0,365.0,172645.0,1.295890410958904
302,458.0,352.0,161216.0,1.3011363636363635
303,491.0,374.0,183634.0,1.3128342245989304
304,512.0,347.0,177664.0,1.4755043227665705
305,464.0,336.0,155904.0,1.380952380952381
306,465.0,345.0,160425.0,1.3478260869565217
307,477.0,397.0,189369.0,1.2015113350125946
308,512.0,440.0,225280.0,1.1636363636363636
309,497.0,368.0,182896.0,1.3505434782608696
310,503.0,340.0,171020.0,1.4794117647058824
311,482.0,345.0,166290.0,1.3971014492753624
312,509.0,400.0,203600.0,1.2725
313,485.0,338.0,163930.0,1.4349112426035502
314,512.0,440.0,225280.0,1.1636363636363636
315,498.0,409.0,203682.0,1.21760391198044
316,512.0,353.0,180736.0,1.4504249291784703
317,509.0,423.0,215307.0,1.2033096926713949
318,468.0,364.0,170352.0,1.2857142857142858
319,484.0,370.0,179080.0,1.308108108108108
320,512.0,349.0,178688.0,1.4670487106017192
321,509.0,432.0,219888.0,1.1782407407407407
322,488.0,369.0,180072.0,1.3224932249322494
323,510.0,368.0,187680.0,1.3858695652173914
324,475.0,348.0,165300.0,1.3649425287356323
325,480.0,390.0,187200.0,1.2307692307692308
326,501.0,361.0,180861.0,1.3878116343490305
327,472.0,388.0,183136.0,1.2164948453608246
328,505.0,334.0,168670.0,1.5119760479041917
329,510.0,352.0,179520.0,1.4488636363636365
330,506.0,365.0,184690.0,1.3863013698630138
331,512.0,399.0,204288.0,1.2832080200501252
332,497.0,393.0,195321.0,1.2646310432569974
333,508.0,407.0,206756.0,1.2481572481572483
334,512.0,403.0,206336.0,1.2704714640198511
335,512.0,376.0,192512.0,1.3617021276595744
336,507.0,354.0,179478.0,1.4322033898305084
337,492.0,393.0,193356.0,1.251908396946565
338,499.0,417.0,208083.0,1.196642685851319
339,491.0,415.0,203765.0,1.183132530120482
340,512.0,413.0,211456.0,1.2397094430992737
341,498.0,377.0,187746.0,1.3209549071618036
342,472.0,325.0,153400.0,1.4523076923076923
343,501.0,369.0,184869.0,1.3577235772357723
344,512.0,438.0,224256.0,1.1689497716894977
345,494.0,332.0,164008.0,1.4879518072289157
346,502.0,360.0,180720.0,1.3944444444444444
347,509.0,393.0,200037.0,1.2951653944020356
348,512.0,379.0,194048.0,1.3509234828496042
349,512.0,374.0,191488.0,1.3689839572192513
350,509.0,431.0,219379.0,1.1809744779582367
351,512.0,459.0,235008.0,1.1154684095860568
352,465.0,331.0,153915.0,1.404833836858006
353,512.0,377.0,193024.0,1.3580901856763925
354,474.0,411.0,194814.0,1.1532846715328466
355,466.0,356.0,165896.0,1.3089887640449438
356,512.0,396.0,202752.0,1.292929292929293
357,512.0,367.0,187904.0,1.3950953678474114
358,497.0,352.0,174944.0,1.4119318181818181
359,512.0,377.0,193024.0,1.3580901856763925
360,484.0,358.0,173272.0,1.3519553072625698
361,512.0,379.0,194048.0,1.3509234828496042
362,483.0,359.0,173397.0,1.3454038997214484
363,512.0,403.0,206336.0,1.2704714640198511
364,501.0,359.0,179859.0,1.3955431754874652
365,506.0,380.0,192280.0,1.331578947368421
366,512.0,407.0,208384.0,1.257985257985258
367,509.0,387.0,196983.0,1.3152454780361758
368,497.0,394.0,195818.0,1.2614213197969544
369,512.0,397.0,203264.0,1.2896725440806045
370,494.0,358.0,176852.0,1.3798882681564246
371,512.0,406.0,207872.0,1.2610837438423645
372,422.0,333.0,140526.0,1.2672672672672673
373,512.0,381.0,195072.0,1.3438320209973753
374,494.0,353.0,174382.0,1.3994334277620397
375,493.0,371.0,182903.0,1.3288409703504043
376,466.0,356.0,165896.0,1.3089887640449438
377,469.0,331.0,155239.0,1.4169184290030212
378,491.0,356.0,174796.0,1.3792134831460674
379,512.0,391.0,200192.0,1.3094629156010231
380,501.0,377.0,188877.0,1.3289124668435013
381,493.0,361.0,177973.0,1.365650969529086
382,509.0,384.0,195456.0,1.3255208333333333
383,512.0,458.0,234496.0,1.1179039301310043
384,510.0,394.0,200940.0,1.2944162436548223
385,512.0,404.0,206848.0,1.2673267326732673
386,512.0,411.0,210432.0,1.245742092457421
387,466.0,383.0,178478.0,1.216710182767624
388,490.0,361.0,176890.0,1.3573407202216066
389,501.0,392.0,196392.0,1.278061224489796
390,458.0,320.0,146560.0,1.43125
391,461.0,384.0,177024.0,1.2005208333333333
392,512.0,431.0,220672.0,1.1879350348027842
393,509.0,431.0,219379.0,1.1809744779582367
394,512.0,417.0,213504.0,1.2278177458033572
395,512.0,358.0,183296.0,1.4301675977653632
396,500.0,399.0,199500.0,1.2531328320802004
397,475.0,383.0,181925.0,1.2402088772845954
398,486.0,375.0,182250.0,1.296
399,503.0,346.0,174038.0,1.453757225433526
400,501.0,356.0,178356.0,1.4073033707865168
401,463.0,341.0,157883.0,1.3577712609970674
402,479.0,312.0,149448.0,1.5352564102564104
403,481.0,364.0,175084.0,1.3214285714285714
404,507.0,406.0,205842.0,1.248768472906404
405,505.0,340.0,171700.0,1.4852941176470589
406,475.0,371.0,176225.0,1.280323450134771
407,482.0,342.0,164844.0,1.409356725146199
408,453.0,318.0,144054.0,1.4245283018867925
409,484.0,375.0,181500.0,1.2906666666666666
